#{"t_start": 1774878997.578734, "env_id": "Hopper-v4"}
r,l,t
84.257011,61,0.932462
8.660485,12,0.952808
7.942336,11,0.973535
9.515098,33,1.040623
8.394958,10,1.064515
13.388955,28,1.112553
5.51714,8,1.130417
18.063645,26,1.181317
12.645327,20,1.225379
20.008198,19,1.271363
9.574754,26,1.335738
89.303513,70,1.519373
18.240019,18,1.568861
16.763262,21,1.616557
14.95248,16,1.644617
12.781936,19,1.6873
29.541439,25,1.749097
20.87158,19,1.798163
8.079704,17,1.844553
10.490777,14,1.877862
26.426743,25,1.942242
8.494948,13,1.978438
40.412876,41,2.086993
13.24272,17,2.198158
20.712332,22,2.247799
14.779329,16,2.294961
11.647289,17,2.344409
9.318497,16,2.391966
7.649815,13,2.428728
16.07358,22,2.491652
29.78146,41,2.610254
57.724577,58,2.783209
24.635182,22,2.847397
8.884654,11,2.877761
20.990412,25,2.946364
10.569902,14,2.988744
12.416422,18,3.040175
11.10586,17,3.088049
39.114859,54,3.241655
10.373542,17,3.289881
24.902212,24,3.359496
19.180875,21,3.418591
9.967014,19,3.471848
10.134833,14,3.50289
16.372673,23,3.545609
6.759438,10,3.56908
24.984082,27,3.637532
10.222159,30,3.703858
16.982476,16,3.732515
12.436104,17,3.769804
31.12545,31,3.845227
13.820671,15,3.882421
12.018311,13,3.91544
14.030979,20,3.965576
6.166717,9,3.989023
9.371464,11,4.578321
20.347751,35,5.462068
23.498935,21,5.506379
9.399083,22,5.558165
10.142929,12,5.583759
49.624939,39,6.350534
13.945236,25,6.427729
14.498037,15,7.518229
17.530597,21,7.598158
19.214072,48,8.99454
14.825146,17,9.059217
7.088344,19,9.129353
10.765837,17,10.382948
71.115675,50,10.572334
8.348254,24,11.678961
9.472931,16,11.735506
4.23221,16,11.791836
30.676859,57,13.098213
22.628129,25,14.468104
20.008438,22,14.55188
11.687379,27,14.644802
26.90197,43,15.93977
36.494646,30,16.039165
49.461876,76,18.863047
50.753674,37,18.9878
97.378109,54,20.523983
19.518973,42,21.885329
88.301549,135,24.446618
125.591903,111,27.307407
88.805264,68,28.734468
83.582232,69,30.322012
80.916735,50,30.489942
69.611635,43,32.441272
132.516,85,33.948483
197.638139,92,36.407093
241.287454,128,38.593436
186.42812,88,39.704785
212.976651,94,41.632355
232.292303,111,43.084811
206.326531,91,45.851786
208.346818,92,47.432592
202.518148,89,50.26679
197.729055,91,51.496483
181.370885,86,54.215067
194.87511,88,55.144105
191.559775,86,57.792134
198.453584,89,60.52041
187.698177,85,62.098174
192.957069,89,63.683759
172.994001,82,66.169692
181.007704,85,67.278791
188.470115,85,68.403909
191.665475,86,70.529783
175.52739,83,71.649383
198.255567,89,72.583919
195.239672,87,74.450702
179.918703,85,75.523989
199.924847,89,76.715548
185.385775,85,79.065597
184.658814,85,80.446214
192.119841,86,83.13463
188.321887,86,85.234312
191.15837,87,86.320176
213.473677,94,88.525963
216.366306,95,90.099196
200.708624,88,91.433574
231.773681,100,94.231457
232.760816,101,96.520884
247.947744,101,97.890356
264.392327,112,100.542671
229.460315,97,101.925378
229.189877,101,104.144539
228.666199,99,106.151447
201.945971,92,109.265529
241.099002,111,111.562523
235.68985,102,113.091688
236.94343,106,115.403613
250.655167,110,117.793554
236.839639,103,119.523821
238.700104,102,121.714726
255.701862,109,124.553106
250.72026,106,125.613263
263.164317,109,128.041214
267.934561,114,130.972785
289.456047,119,133.656373
212.844414,96,136.989194
295.631935,125,139.627156
312.608708,122,141.377701
401.619367,161,144.46855
351.550807,136,148.360373
684.777285,221,152.140094
195.623161,91,153.479957
