#{"t_start": 1774878997.5808966, "env_id": "Hopper-v4"}
r,l,t
16.418902,18,0.863689
8.453812,11,0.878523
10.987973,16,0.902955
15.556326,19,0.935526
10.542142,18,0.96716
11.22971,19,1.00662
36.877565,33,1.074506
18.341845,41,1.152823
10.067031,17,1.18445
9.770085,15,1.217891
10.177054,15,1.254138
55.381195,38,1.349113
9.185238,14,1.385588
7.653228,24,1.449768
9.764462,13,1.484726
17.309609,19,1.534062
15.34456,20,1.589153
10.247935,15,1.61856
15.407627,33,1.68523
11.461199,22,1.739803
11.901184,34,1.828358
21.024305,24,1.889632
16.20037,19,1.937301
14.703507,23,1.999616
7.238021,18,2.047694
10.289829,22,2.107372
13.713186,18,2.21737
23.732364,27,2.286145
7.342496,9,2.312796
12.350008,16,2.360597
6.608815,9,2.385712
55.329895,55,2.542742
20.562797,31,2.634593
9.965003,14,2.675141
8.52966,12,2.71049
9.71452,17,2.761952
13.351905,23,2.830117
7.659813,15,2.872968
20.315202,27,2.947983
19.052861,23,3.015533
12.206366,16,3.061384
9.832978,15,3.103617
5.609274,9,3.128967
25.307144,22,3.192545
13.536501,18,3.243314
16.961837,21,3.301497
15.537998,18,3.353218
7.631743,12,3.387944
16.61329,17,3.435851
36.534871,33,3.512283
13.413988,24,3.561282
12.299605,17,3.604032
26.597442,30,3.679906
18.04901,24,3.722792
10.378867,14,3.74995
13.683307,35,3.835687
150.539566,102,5.451374
25.058086,21,5.494853
36.686139,37,5.578922
10.004764,17,6.277585
79.0184,69,7.539178
8.575482,10,7.577592
12.521787,21,7.658763
7.150111,11,7.701158
19.306024,32,9.033774
12.680397,22,9.115072
17.923476,29,10.41966
18.165672,25,10.515672
10.165664,13,10.559527
7.740392,10,10.594675
12.081459,21,11.689873
10.497702,12,11.733033
26.09051,24,11.81645
10.521775,16,12.982236
41.05245,31,13.089192
25.313107,29,14.474275
18.034159,35,14.601654
9.765528,17,14.65973
52.31741,32,15.915748
10.585939,20,15.985528
42.656025,31,17.381436
142.771655,78,18.925952
70.24847,42,20.406372
23.133817,42,20.552836
195.311806,101,23.480163
106.597242,65,24.441729
152.032771,129,27.363075
139.667575,94,28.887766
131.478566,74,30.481206
178.174049,91,33.803113
221.786625,143,36.439433
227.206817,117,38.594508
213.012812,96,39.729731
215.880935,94,41.649834
212.273453,95,43.061304
220.679797,100,45.857865
198.892511,89,47.426971
185.915674,85,50.246904
213.006942,94,51.488916
200.298135,90,54.218644
189.322079,85,55.138989
183.141615,85,57.785949
179.350698,83,59.177747
196.705911,89,62.08512
206.213295,91,63.673726
189.788895,86,66.173397
182.288792,85,67.281784
206.906058,91,68.423266
174.456087,84,70.546418
182.530374,85,71.671079
182.166004,91,72.606347
185.078473,85,74.467438
183.551175,84,75.536827
183.555684,84,76.721078
191.498215,87,79.074852
178.785027,85,80.4559
185.616681,87,83.140888
197.241172,89,85.256009
186.187084,86,86.337753
195.706825,87,88.523934
198.604381,89,90.07329
195.146058,87,91.411255
223.770397,97,94.197571
237.692434,100,95.496145
258.472048,107,97.872712
257.058754,108,100.5057
232.273901,98,101.908749
232.655472,101,104.120086
232.823612,98,105.188564
251.140666,106,109.282097
243.449757,108,111.567658
259.87337,111,113.127173
251.48783,107,115.436858
253.672378,110,117.828838
234.785036,101,119.553176
253.165447,103,121.750037
240.815763,104,124.569278
250.777611,108,125.63078
265.571481,112,128.076127
284.69523,115,131.0144
286.695132,123,135.808222
238.138655,103,137.064795
196.613945,97,139.61196
306.53849,123,141.368428
219.345421,101,142.925537
288.900306,134,147.130665
398.862117,160,149.733066
219.100271,101,152.069194
193.458699,91,153.416898
494.650001,170,157.779146
208.019467,108,159.094965
441.349385,174,167.591497
617.384766,205,171.903332
422.039414,162,175.339023
546.969097,184,178.091624
443.24478,161,181.302928
431.149824,162,185.645928
411.307936,164,188.275925
363.175965,141,194.281834
347.302483,140,197.194861
321.566466,127,199.751913
331.874084,132,202.684296
352.528962,131,205.449169
342.267354,129,208.300906
349.350629,134,209.970094
292.651857,122,212.934056
374.217118,142,215.997188
332.336976,135,218.957622
332.911014,128,223.881389
408.287466,145,226.638789
379.08533,136,230.720089
333.790588,122,232.052948
377.800742,136,235.223696
353.284954,129,237.651728
324.776945,123,240.176702
326.919373,124,241.401576
318.171395,126,243.504393
315.25069,122,247.731811
377.490565,140,251.153599
304.691383,116,252.790742
314.525602,120,255.301872
326.324191,130,257.628549
423.263193,151,260.994277
332.003895,126,263.507782
357.398979,136,266.107749
310.595693,119,269.069873
352.720083,134,271.810711
323.324806,126,276.260354
397.741149,144,278.650579
379.354723,143,281.444263
310.944546,122,283.82315
367.845902,136,286.011702
379.840171,143,288.567204
476.185522,174,292.948652
442.8293,160,297.09699
490.185469,177,302.563656
474.189082,184,305.647207
375.197109,131,308.202368
657.568066,229,313.639247
373.591767,130,316.154167
590.299874,194,320.32464
458.494309,159,323.42335
582.015832,206,331.377527
389.058497,174,333.781672
432.163727,149,337.670167
615.870563,202,341.368564
